label,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
come,0.4166789948940277,0.7086207866668701,-7.535386998824833e-07,0.4964551627635956,0.6374438405036926,-0.045849896967411,0.5674189925193787,0.6089444756507874,-0.0757319778203964,0.6197161078453064,0.596057653427124,-0.096182994544506,0.669710099697113,0.5739825963973999,-0.118645042181015,0.5676802396774292,0.6948195099830627,-0.1113340109586715,0.540511965751648,0.5521349906921387,-0.1536087691783905,0.5150883793830872,0.4714842140674591,-0.1693662256002426,0.5002154111862183,0.4142687320709228,-0.1770681738853454,0.5125479698181152,0.7168965935707092,-0.1071620881557464,0.4885982573032379,0.5651504397392273,-0.1531022042036056,0.4740973711013794,0.4785127639770508,-0.1702210307121276,0.4643962383270263,0.4100358188152313,-0.184963122010231,0.4614821672439575,0.7162695527076721,-0.1026621758937835,0.437738835811615,0.5660162568092346,-0.1508778035640716,0.4287912845611572,0.4764015078544616,-0.1611111164093017,0.4232802391052246,0.4100421667098999,-0.1664909571409225,0.4173690974712372,0.6958734393119812,-0.0993886217474937,0.4071776866912842,0.5752711892127991,-0.1391928642988205,0.4057987928390503,0.5045477151870728,-0.1492704898118972,0.4081713259220123,0.4475151896476745,-0.1544072777032852
stop,0.4062453508377075,0.8574706315994263,8.376298410439631e-07,0.5185455083847046,0.8350070118904114,-0.045459683984518,0.5972808003425598,0.7669522762298584,-0.055946908891201,0.6405375003814697,0.6731941103935242,-0.0635790303349495,0.6721766591072083,0.5958123207092285,-0.0692473500967025,0.5597264170646667,0.5980316400527954,0.0041186427697539,0.6121436953544617,0.5019686818122864,-0.0091359792277216,0.6479865312576294,0.4314642548561096,-0.0230702981352806,0.6764250993728638,0.3851855993270874,-0.03216103464365,0.5044144988059998,0.5583488345146179,0.0117830913513898,0.5369689464569092,0.4310525357723236,0.0075290910899639,0.5603922605514526,0.3491936922073364,-0.0009413792286068,0.5834303498268127,0.2836493849754333,-0.0066492562182247,0.4512923657894134,0.5481888055801392,0.0094608655199408,0.4755691587924957,0.4295229315757751,-0.0054316939786076,0.4985306560993194,0.3534411489963531,-0.0221336167305707,0.5195465683937073,0.293683260679245,-0.032768715173006,0.394325315952301,0.5607674717903137,0.0017332412535324,0.3751824796199798,0.4743314981460571,-0.0234721302986145,0.3654115796089172,0.4089561104774475,-0.040792778134346,0.3625073432922363,0.3486813902854919,-0.0499592758715152
okay,0.5640701055526733,0.8014391660690308,-6.775567271688487e-07,0.4955989122390747,0.7221745848655701,0.0615734905004501,0.4633148908615112,0.6636838912963867,0.0750739872455596,0.4356008172035217,0.6210508346557617,0.0665240660309791,0.4236935377120971,0.5705808997154236,0.0546756386756897,0.5594538450241089,0.5849122405052185,0.0906957685947418,0.5146094560623169,0.5186780691146851,0.0858877748250961,0.4692632853984833,0.5278706550598145,0.0700812190771102,0.4402700066566467,0.5519993901252747,0.0577716641128063,0.5737136602401733,0.5847941040992737,0.0419061295688152,0.5148024559020996,0.505352258682251,0.0381527245044708,0.4614071846008301,0.5208054184913635,0.0178759191185235,0.4342578649520874,0.5504533648490906,0.0012636961182579,0.5758892893791199,0.5906762480735779,-0.0074332430958747,0.5179570317268372,0.5118848085403442,-0.012847552075982,0.4660022854804992,0.5283609628677368,-0.0211365856230258,0.4376526176929474,0.5591480135917664,-0.0291800126433372,0.5661198496818542,0.6018241047859192,-0.0532151088118553,0.5113270282745361,0.5461017489433289,-0.0582461133599281,0.4671964943408966,0.5484459400177002,-0.058545172214508,0.438108742237091,0.5624587535858154,-0.0601204261183738
come,0.4001407325267792,0.7475218772888184,-3.336525367103605e-07,0.4671668708324432,0.694564938545227,0.0122109930962324,0.4999667704105377,0.6183499693870544,-0.004645375534892,0.4925225079059601,0.5427994132041931,-0.0236898083239793,0.4721338152885437,0.497271180152893,-0.0438518933951854,0.5373644232749939,0.60549396276474,-0.0499787218868732,0.5314326286315918,0.4884590804576874,-0.0623803809285163,0.5026261210441589,0.4447874128818512,-0.0562612563371658,0.4740599989891052,0.4311463832855224,-0.0517800711095333,0.5015249848365784,0.6036959290504456,-0.0677959397435188,0.4576843976974487,0.4847549200057983,-0.0771520286798477,0.4387606084346771,0.5166648030281067,-0.0606244280934333,0.4442375302314758,0.5563461184501648,-0.0528461933135986,0.4595169723033905,0.6005347371101379,-0.0816917568445205,0.4148098826408386,0.5068644881248474,-0.0815881043672561,0.4069371819496155,0.5447245836257935,-0.059300921857357,0.4175399541854858,0.5804698467254639,-0.0519659295678138,0.4177529811859131,0.5998333096504211,-0.0950568914413452,0.3834927082061767,0.5396189093589783,-0.0958335027098655,0.3782879710197449,0.568019449710846,-0.0835574269294738,0.3863271474838257,0.5938222408294678,-0.0782216563820838
come,0.3533095121383667,0.6868973970413208,-8.015672960937081e-07,0.4494231343269348,0.6340209245681763,-0.0516973920166492,0.5249478220939636,0.6139094829559326,-0.0922423973679542,0.5788673162460327,0.6016175150871277,-0.1223116219043731,0.6376789808273315,0.588039219379425,-0.1552649438381195,0.5339722037315369,0.72427898645401,-0.14107646048069,0.5357512831687927,0.5605501532554626,-0.1980373710393905,0.5197741985321045,0.4555661082267761,-0.2208780795335769,0.5106267929077148,0.3792465031147003,-0.2330887019634246,0.4683196246623993,0.7345613241195679,-0.14129738509655,0.4776614308357239,0.5590679049491882,-0.2018352150917053,0.4715365767478943,0.4441763162612915,-0.2225490510463714,0.4703394472599029,0.3613444566726684,-0.239905834197998,0.4061355292797088,0.7169148921966553,-0.1409695595502853,0.4131273627281189,0.5421482920646667,-0.2026886492967605,0.4160376489162445,0.4299318492412567,-0.2137613147497177,0.4184020161628723,0.3526683449745178,-0.2195606380701065,0.3525499701499939,0.6788906455039978,-0.1416245102882385,0.3596925437450409,0.5369930267333984,-0.1934186071157455,0.3695230484008789,0.4547756314277649,-0.2060761302709579,0.3820601105690002,0.3953844308853149,-0.2126891165971756
okay,0.2424118518829345,0.4717167019844055,3.629683362760261e-07,0.2838394045829773,0.4263902902603149,-0.0197384525090456,0.3110378980636596,0.3826266229152679,-0.0366513803601264,0.3318372666835785,0.34869185090065,-0.0553236864507198,0.3482502102851867,0.3167166113853454,-0.0721999257802963,0.2558419406414032,0.3165101110935211,-0.0154775334522128,0.2894869446754455,0.2820471525192261,-0.049657754600048,0.3163762390613556,0.2967347800731659,-0.0732344090938568,0.3338233530521393,0.3226373195648193,-0.0829622969031333,0.2281351387500763,0.3130913972854614,-0.0228336676955223,0.2230373919010162,0.2434760183095932,-0.0451277829706668,0.2357418686151504,0.1968674510717392,-0.0558511167764663,0.2485795766115188,0.1613616943359375,-0.0603914223611354,0.2040000110864639,0.327706515789032,-0.0363851115107536,0.1895273774862289,0.2636502385139465,-0.0608526840806007,0.1936535239219665,0.2146395891904831,-0.0720286220312118,0.2004709988832473,0.1773295104503631,-0.075829766690731,0.1856908500194549,0.3499935865402221,-0.0519990809261798,0.1506183296442031,0.3209487199783325,-0.0743069723248481,0.1270520687103271,0.2944547832012176,-0.0827672630548477,0.1102443039417266,0.2686208486557007,-0.0853911638259887
stop,0.7642326951026917,0.8508628010749817,3.03209532148685e-07,0.7201325297355652,0.7976622581481934,-0.0181484501808881,0.690284013748169,0.7329506874084473,-0.0269660037010908,0.6715487241744995,0.6801643371582031,-0.0352231599390506,0.6542695164680481,0.6443856358528137,-0.0442963764071464,0.756140947341919,0.6725413203239441,-0.0120916720479726,0.7521038055419922,0.6007930636405945,-0.026310995221138,0.751515805721283,0.5558551549911499,-0.0392834059894084,0.7540581226348877,0.5175958275794983,-0.0493567511439323,0.7928149700164795,0.6747180819511414,-0.0159271508455276,0.8145760297775269,0.5976561307907104,-0.0282715987414121,0.8255041837692261,0.5478449463844299,-0.0408017411828041,0.8344946503639221,0.5059349536895752,-0.0505451448261737,0.8212570548057556,0.6916284561157227,-0.0230805575847625,0.8509915471076965,0.6227073073387146,-0.0390648506581783,0.8663028478622437,0.5767564177513123,-0.0518241263926029,0.8777816295623779,0.5355255007743835,-0.0607458315789699,0.8429152965545654,0.7206453084945679,-0.0317578017711639,0.8771379590034485,0.6778661608695984,-0.0470246002078056,0.8976113200187683,0.6479582786560059,-0.0542929545044899,0.9140996336936952,0.6184678077697754,-0.0593732520937919
come,0.7423949837684631,0.6257025599479675,-1.3464460835166392e-07,0.6512333750724792,0.5684512853622437,-0.0174549743533134,0.5682706832885742,0.5494159460067749,-0.0387086980044841,0.5083249807357788,0.5473336577415466,-0.0577287822961807,0.4523394107818603,0.5639745593070984,-0.0729343891143798,0.5495516657829285,0.637717604637146,-0.0694702640175819,0.5528469085693359,0.4807931184768677,-0.0993402972817421,0.5905165076255798,0.4562511444091797,-0.1019861251115799,0.6038891673088074,0.4686043262481689,-0.1025542169809341,0.5981796383857727,0.6489116549491882,-0.0779391527175903,0.5993704199790955,0.4733808636665344,-0.1036198660731315,0.6311070322990417,0.4597949683666229,-0.0945861637592315,0.6426424384117126,0.4741179645061493,-0.0914250090718269,0.6512154340744019,0.6425511837005615,-0.0868838131427764,0.6458529233932495,0.4765945672988891,-0.1114245504140853,0.6658183336257935,0.4659439921379089,-0.0987933725118637,0.6750556230545044,0.4763030707836151,-0.0919950008392334,0.6993286609649658,0.6227582693099976,-0.0972854420542717,0.6935063600540161,0.4968947172164917,-0.1190065667033195,0.6939439177513123,0.4579354524612427,-0.1192229092121124,0.6943166255950928,0.4378595650196075,-0.1189894005656242
come,0.611911952495575,0.8597440123558044,-3.218556798856298e-07,0.6603611707687378,0.775481104850769,-0.0074150846339762,0.7000597715377808,0.6711541414260864,-0.0312158353626728,0.7221311330795288,0.5903706550598145,-0.0511874035000801,0.7510482668876648,0.5315749645233154,-0.0717472955584526,0.7063676118850708,0.6722837090492249,-0.099757470190525,0.6216806173324585,0.5444936752319336,-0.1230947449803352,0.5997646450996399,0.5580437779426575,-0.1115314289927482,0.6079485416412354,0.5894619822502136,-0.0988673120737075,0.6619552969932556,0.7117601037025452,-0.1086074560880661,0.5745230317115784,0.5699771642684937,-0.1320162117481231,0.5582797527313232,0.582163393497467,-0.109908826649189,0.5719640254974365,0.6143932342529297,-0.0948943197727203,0.6125388145446777,0.7440715432167053,-0.1135337129235267,0.5340883731842041,0.6068434715270996,-0.1333666741847992,0.5245028138160706,0.613349437713623,-0.1051821336150169,0.5395320653915405,0.6467771530151367,-0.0859240740537643,0.5640658736228943,0.7680531144142151,-0.117380678653717,0.5110330581665039,0.6571483016014099,-0.1360182762145996,0.5102624297142029,0.6511273384094238,-0.12506864964962,0.5267830491065979,0.6685940027236938,-0.114478051662445
come,0.3890815675258636,0.9050584435462952,-8.726496503186355e-08,0.3724147081375122,0.8200247883796692,0.0572803281247615,0.365369975566864,0.7653805613517761,0.0501651652157306,0.3729268014431,0.7250627875328064,0.0342727787792682,0.380468487739563,0.6939308643341064,0.0149056185036897,0.3076730668544769,0.7663976550102234,-0.0332095175981521,0.2941245436668396,0.6928496360778809,-0.0304062645882368,0.3075784742832184,0.6498872637748718,-0.0151164270937442,0.3259344398975372,0.6267435550689697,-0.0045100436545908,0.3333064615726471,0.7821852564811707,-0.0699224174022674,0.3617607951164245,0.7033646702766418,-0.0444660782814025,0.3818531632423401,0.7381641268730164,-0.0029959559906274,0.3788402080535888,0.7636438608169556,0.0144650852307677,0.3631967902183532,0.7946411967277527,-0.0995994210243225,0.392348438501358,0.7219880819320679,-0.0653991624712944,0.405023455619812,0.76225745677948,-0.0313012935221195,0.3977734446525574,0.7886669635772705,-0.0277210567146539,0.3931304514408111,0.7933874130249023,-0.1252267062664032,0.4168413877487182,0.7545635104179382,-0.0905040353536605,0.4219158589839935,0.7860093116760254,-0.0642527192831039,0.412486732006073,0.8129597306251526,-0.0599762499332428
